Louvain_cluster,Cluster_Label,Cluster_Index,Celltype,Stage
62,S08-blastula,0,blastula,S08
63,S08-blastula,0,blastula,S08
64,S08-blastula,0,blastula,S08
65,S08-blastula,0,blastula,S08
66,S08-blastula,0,blastula,S08
67,S08-blastula,0,blastula,S08
68,S08-blastula,0,blastula,S08
69,S08-blastula,0,blastula,S08
70,S08-blastula,0,blastula,S08
71,S08-blastula,0,blastula,S08
72,S08-blastula,0,blastula,S08
73,S08-blastula,0,blastula,S08
74,S08-blastula,0,blastula,S08
75,S08-blastula,0,blastula,S08
76,S08-blastula,0,blastula,S08
77,S08-blastula,0,blastula,S08
78,S08-blastula,0,blastula,S08
79,S08-blastula,0,blastula,S08
80,S08-blastula,0,blastula,S08
81,S08-blastula,0,blastula,S08
82,S08-blastula,0,blastula,S08
83,S08-blastula,0,blastula,S08
84,S08-blastula,0,blastula,S08
85,S08-blastula,0,blastula,S08
86,S08-blastula,0,blastula,S08
87,S08-blastula,0,blastula,S08
88,S08-blastula,0,blastula,S08
89,S08-blastula,0,blastula,S08
90,S08-blastula,0,blastula,S08
91,S08-blastula,0,blastula,S08
92,S08-blastula,0,blastula,S08
93,S08-blastula,0,blastula,S08
94,S08-blastula,0,blastula,S08
95,S08-blastula,0,blastula,S08
96,S08-blastula,0,blastula,S08
97,S08-blastula,0,blastula,S08
98,S08-blastula,0,blastula,S08
99,S08-blastula,0,blastula,S08
100,S08-blastula,0,blastula,S08
101,S08-blastula,0,blastula,S08
102,S08-blastula,0,blastula,S08
103,S08-blastula,0,blastula,S08
104,S08-blastula,0,blastula,S08
105,S08-blastula,0,blastula,S08
106,S08-blastula,0,blastula,S08
107,S08-blastula,0,blastula,S08
108,S08-blastula,0,blastula,S08
109,S08-blastula,0,blastula,S08
110,S08-blastula,0,blastula,S08
111,S08-blastula,0,blastula,S08
112,S08-blastula,0,blastula,S08
113,S08-blastula,0,blastula,S08
114,S08-blastula,0,blastula,S08
115,S08-blastula,0,blastula,S08
116,S08-blastula,0,blastula,S08
117,S08-blastula,0,blastula,S08
118,S08-blastula,0,blastula,S08
119,S08-blastula,0,blastula,S08
120,S08-blastula,0,blastula,S08
121,S08-blastula,0,blastula,S08
122,S08-blastula,0,blastula,S08
123,S08-blastula,0,blastula,S08
124,S08-blastula,0,blastula,S08
125,S08-blastula,0,blastula,S08
126,S08-blastula,0,blastula,S08
127,S08-blastula,0,blastula,S08
128,S08-blastula,0,blastula,S08
129,S08-blastula,0,blastula,S08
130,S08-blastula,0,blastula,S08
131,S08-blastula,0,blastula,S08
132,S08-blastula,0,blastula,S08
133,S08-blastula,0,blastula,S08
134,S08-blastula,0,blastula,S08
135,S08-blastula,0,blastula,S08
136,S08-blastula,0,blastula,S08
137,S08-blastula,0,blastula,S08
138,S08-blastula,0,blastula,S08
139,S08-blastula,0,blastula,S08
140,S08-blastula,0,blastula,S08
141,S08-blastula,0,blastula,S08
142,S08-blastula,0,blastula,S08
143,S08-blastula,0,blastula,S08
